,segment_id,start,end,anger,disgust,fear,joy,neutral,sadness,surprise
0,0,9,19,0.022067120298743248,0.014352584257721901,0.007997948676347733,0.0029909515287727118,0.9260876774787903,0.0034887806978076696,0.023014944046735764
1,1,20,32,0.008600782603025436,0.021140167489647865,0.002188207348808646,0.0018770640017464757,0.9443243741989136,0.00366237573325634,0.01820695586502552
2,2,38,49,0.02403864823281765,0.006401306018233299,0.0008909166790544987,0.7809804081916809,0.16651402413845062,0.007374377455562353,0.013800320215523243
3,3,102,135,0.020687920972704887,0.07561879605054855,0.028148889541625977,0.0034307483583688736,0.8512545824050903,0.015644630417227745,0.00521440664306283
4,5,162,180,0.03928060457110405,0.38071784377098083,0.009187900461256504,0.0030210723634809256,0.5414393544197083,0.019585857167840004,0.006767368409782648
5,6,181,228,0.0555664524435997,0.040631018579006195,0.010629554279148579,0.008316858671605587,0.8597447872161865,0.0028525732923299074,0.022258831188082695
6,11,1091,1102,0.5103319883346558,0.2543529272079468,0.024202397093176842,0.002362756058573723,0.1801430583000183,0.02383244037628174,0.004774441942572594
7,12,1112,1123,0.011198758147656918,0.009141241200268269,0.0011446892749518156,0.006945345085114241,0.9626049995422363,0.0024564152117818594,0.006508640944957733
8,16,1505,1517,0.3988930583000183,0.011167178861796856,0.015069734305143356,0.013051658868789673,0.4820571839809418,0.01987665519118309,0.05988449603319168
9,22,1913,1924,0.006948085501790047,0.022134602069854736,0.0027699677739292383,0.1980500966310501,0.7152406573295593,0.02741112746298313,0.027445415034890175
10,24,2243,2259,0.0065260096453130245,0.02074773795902729,0.0009483731118962169,0.8224344253540039,0.14143100380897522,0.004646027460694313,0.0032664730679243803
11,30,2551,2564,0.04128888249397278,0.150778129696846,0.0933111235499382,0.013106669299304485,0.673204779624939,0.01599780097603798,0.01231260783970356
12,36,2838,2851,0.06251813471317291,0.07419118285179138,0.008404132910072803,0.04007962346076965,0.7981775403022766,0.01414541620761156,0.0024839430116117
13,39,2885,2898,0.007613529451191425,0.013102550990879536,0.0025750170461833477,0.03563980013132095,0.9134367108345032,0.0100275669246912,0.017604831606149673
14,40,2931,2946,0.013585780747234821,0.021504463627934456,0.00570686673745513,0.004954971373081207,0.9102908968925476,0.006213244050741196,0.03774386644363403
15,43,3055,3067,0.018449485301971436,0.022251637652516365,0.006399796810001135,0.010560511611402035,0.8107128739356995,0.0074968053959310055,0.12412889301776886
16,46,3231,3250,0.013075251132249832,0.014939985238015652,0.9076526165008545,0.002587665570899844,0.027149032801389694,0.003885996527969837,0.030709486454725266
17,48,3274,3285,0.06413358449935913,0.10400660336017609,0.0513627864420414,0.0405643954873085,0.5494769215583801,0.11169017106294632,0.07876551151275635
18,49,3386,3397,0.01987859420478344,0.01765897311270237,0.003784559201449156,0.011819440871477127,0.8870162963867188,0.011884823441505432,0.047957416623830795
19,50,3432,3443,0.04696264863014221,0.1233595460653305,0.03610019013285637,0.009206877090036869,0.5048652291297913,0.14746427536010742,0.13204123079776764
20,51,3445,3459,0.04388159513473511,0.08421673625707626,0.017625778913497925,0.004607097711414099,0.8332306742668152,0.01320378016680479,0.0032343848142772913
21,52,3508,3523,0.010994045995175838,0.31768447160720825,0.006035038735717535,0.011674977838993073,0.6073935627937317,0.01357154082506895,0.03264639899134636
22,53,3532,3545,0.028783747926354408,0.07143595069646835,0.19964739680290222,0.05134882032871246,0.5479888319969177,0.07407524436712265,0.026719987392425537
23,54,3548,3560,0.027514467015862465,0.030887918546795845,0.016965022310614586,0.17646948993206024,0.3526945412158966,0.32903552055358887,0.06643300503492355
24,55,3570,3586,0.04661034420132637,0.20351478457450867,0.021348444744944572,0.01289830356836319,0.6890215277671814,0.014523310586810112,0.012083263136446476
25,57,3668,3683,0.02349787764251232,0.017620880156755447,0.006687514018267393,0.824179470539093,0.038070790469646454,0.02574780210852623,0.06419561058282852
26,58,3697,3707,0.010084508918225765,0.01922471635043621,0.008778970688581467,0.002172054722905159,0.9087253212928772,0.007100184913724661,0.04391422122716904
27,59,3731,3741,0.025810161605477333,0.04946798086166382,0.003958333749324083,0.5571966171264648,0.3330429792404175,0.011880071833729744,0.018643902614712715
28,60,3749,3761,0.07654862850904465,0.24176020920276642,0.48990243673324585,0.009442562237381935,0.12274975329637527,0.053286049515008926,0.006310432218015194
29,61,3769,3788,0.032851915806531906,0.10054216533899307,0.02311439998447895,0.01459505781531334,0.7777758836746216,0.026358116418123245,0.02476247027516365
30,62,3792,3812,0.011823413893580437,0.011427679099142551,0.005189621355384588,0.017694609239697456,0.9088772535324097,0.016108587384223938,0.028878871351480484
31,63,3820,3835,0.011593339033424854,0.028310254216194153,0.004430233500897884,0.22477400302886963,0.6627850532531738,0.013070535846054554,0.05503658577799797
32,64,3867,3889,0.1992170363664627,0.18568721413612366,0.023687081411480904,0.018561188131570816,0.461597204208374,0.03100794367492199,0.08024226129055023
33,66,3995,4009,0.003223839681595564,0.002004226902499795,0.0002591099764686078,0.94278484582901,0.032562512904405594,0.006114942952990532,0.013050573877990246
34,72,4259,4272,0.38937902450561523,0.03802796080708504,0.023080307990312576,0.20526693761348724,0.13374613225460052,0.02818140760064125,0.18231816589832306
35,82,4988,5005,0.005589507520198822,0.001987168099731207,0.0008723829523660243,0.8663426637649536,0.08236940205097198,0.01659281738102436,0.026246104389429092
36,83,5097,5115,0.01540171355009079,0.022482672706246376,0.01260292250663042,0.528350293636322,0.30730751156806946,0.05143408477306366,0.06242074444890022
37,85,5287,5303,0.00726957805454731,0.026053909212350845,0.001400868990458548,0.019902560859918594,0.006079935468733311,0.9380017518997192,0.001291401102207601
38,86,5306,5338,0.15976132452487946,0.4649929106235504,0.06642963737249374,0.005053935572504997,0.05915984511375427,0.13573837280273438,0.10886397957801819
39,87,5365,5381,0.01886596344411373,0.30116480588912964,0.015312942676246166,0.007390174083411694,0.069237619638443,0.5796080231666565,0.008420468308031559
40,91,5661,5672,0.7334877848625183,0.10451942682266235,0.011307807639241219,0.002818426815792918,0.11689690500497818,0.018249688670039177,0.012720035389065742
41,94,6574,6600,0.10143231600522995,0.10225517302751541,0.03465844690799713,0.4494708776473999,0.1266169250011444,0.06348726898431778,0.12207897007465363
42,95,6601,6626,0.01404536236077547,0.02045508846640587,0.006197314243763685,0.0858587995171547,0.09229905903339386,0.013484254479408264,0.7676600813865662
43,96,6637,6648,0.012375258840620518,0.015325808897614479,0.0027134378906339407,0.009254544042050838,0.8796319961547852,0.00371899688616395,0.07697997987270355
44,97,6685,6721,0.008845723234117031,0.015288426540791988,0.005151475314050913,0.005444637034088373,0.9412551522254944,0.012367326766252518,0.011647372506558895
45,98,6741,6752,0.004825522191822529,0.11780859529972076,0.01155555248260498,0.11716039478778839,0.6507361531257629,0.06658697128295898,0.03132679685950279
46,99,6755,6774,0.006229750346392393,0.012947832234203815,0.005757430102676153,0.032764699310064316,0.6615837216377258,0.2236679494380951,0.05704863369464874
47,101,6875,6887,0.033500365912914276,0.04698125272989273,0.03972691670060158,0.008188211359083652,0.7797598838806152,0.009516802616417408,0.08232658356428146
48,105,7572,7593,0.02048661559820175,0.08699622750282288,0.032344162464141846,0.009652095846831799,0.6037492752075195,0.2211420238018036,0.02562965825200081
49,106,7599,7633,0.009375215508043766,0.03564818948507309,0.005815496202558279,0.006941044703125954,0.9163411855697632,0.0096563920378685,0.016222510486841202
50,108,7845,7856,0.013477221131324768,0.008034177124500275,0.003928488120436668,0.0040062363259494305,0.8492133617401123,0.007512922864407301,0.11382754892110825
51,111,8104,8118,0.014791124500334263,0.03634289652109146,0.040591418743133545,0.29620590806007385,0.41055968403816223,0.07179173827171326,0.12971730530261993
52,112,8128,8139,0.005427536554634571,0.08963779360055923,0.0035468649584800005,0.005395552143454552,0.8782151341438293,0.008238069713115692,0.009539068676531315
53,116,8428,8441,0.5099773406982422,0.08063028752803802,0.12043508142232895,0.021856579929590225,0.18369586765766144,0.026103928685188293,0.05730102211236954
54,121,8759,8778,0.010537516325712204,0.025492141023278236,0.008043053559958935,0.00532962940633297,0.8725063800811768,0.006895184982568026,0.07119608670473099
55,125,9242,9278,0.03014468215405941,0.03781713545322418,0.006434394512325525,0.002914670156314969,0.8122276067733765,0.006576640531420708,0.10388489812612534
56,127,9308,9323,0.02007899433374405,0.03767113760113716,0.009173249825835228,0.012930620461702347,0.8345245122909546,0.04911698028445244,0.036504555493593216
57,128,9339,9357,0.004102121572941542,0.004320002160966396,0.0018011342035606503,0.012575622648000717,0.9592478275299072,0.007079038769006729,0.010874216444790363
58,129,9401,9414,0.0015812109922990203,0.0030547797214239836,0.000507013697642833,0.9731433987617493,0.012941056862473488,0.0020847369451075792,0.0066877929493784904
59,130,9623,9639,0.03396204486489296,0.011334359645843506,0.003114073071628809,0.00730612687766552,0.9096542596817017,0.004333702381700277,0.030295439064502716
